2019/07/16 08:07:06 [warn] 7#7: *48 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/0/01/0000000010 while reading upstream, client: 172.18.0.1, server: , request: "POST /register HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:3500", referrer: "http://localhost:3500/register"
2019/07/16 08:13:26 [warn] 9#9: *63 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/01/0000000011 while reading upstream, client: 172.18.0.1, server: , request: "POST /register HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:3500", referrer: "http://localhost:3500/register"
2019/07/16 08:16:59 [warn] 7#7: *68 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/2/01/0000000012 while reading upstream, client: 172.18.0.1, server: , request: "POST /register HTTP/1.1", upstream: "fastcgi://172.18.0.3:9000", host: "localhost:3500", referrer: "http://localhost:3500/register"
2019/07/16 08:23:23 [warn] 7#7: *1 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/00/0000000001 while reading upstream, client: 172.19.0.1, server: , request: "POST /register HTTP/1.1", upstream: "fastcgi://172.19.0.5:9000", host: "localhost:3500", referrer: "http://localhost:3500/register"
2019/07/16 08:24:10 [warn] 6#6: *5 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/2/00/0000000002 while reading upstream, client: 172.19.0.1, server: , request: "POST /register HTTP/1.1", upstream: "fastcgi://172.19.0.5:9000", host: "localhost:3500", referrer: "http://localhost:3500/register"
2019/07/16 08:28:52 [warn] 7#7: *13 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/3/00/0000000003 while reading upstream, client: 172.19.0.1, server: , request: "POST /register HTTP/1.1", upstream: "fastcgi://172.19.0.5:9000", host: "localhost:3500", referrer: "http://localhost:3500/register"
2019/07/16 08:31:40 [warn] 7#7: *19 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/4/00/0000000004 while reading upstream, client: 172.19.0.1, server: , request: "POST /register HTTP/1.1", upstream: "fastcgi://172.19.0.5:9000", host: "localhost:3500", referrer: "http://localhost:3500/register"
2019/07/16 08:35:23 [warn] 7#7: *22 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/5/00/0000000005 while reading upstream, client: 172.19.0.1, server: , request: "POST /register HTTP/1.1", upstream: "fastcgi://172.19.0.5:9000", host: "localhost:3500", referrer: "http://localhost:3500/register"
2019/07/16 08:55:24 [warn] 7#7: *24 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/6/00/0000000006 while reading upstream, client: 172.19.0.1, server: , request: "POST /register HTTP/1.1", upstream: "fastcgi://172.19.0.5:9000", host: "localhost:3500", referrer: "http://localhost:3500/register"
2019/07/16 09:08:25 [warn] 7#7: *29 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/7/00/0000000007 while reading upstream, client: 172.19.0.1, server: , request: "POST /register HTTP/1.1", upstream: "fastcgi://172.19.0.5:9000", host: "localhost:3500", referrer: "http://localhost:3500/register"
2019/07/16 09:13:52 [warn] 7#7: *32 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/8/00/0000000008 while reading upstream, client: 172.19.0.1, server: , request: "POST /register HTTP/1.1", upstream: "fastcgi://172.19.0.5:9000", host: "localhost:3500", referrer: "http://localhost:3500/register"
2019/07/16 09:23:34 [warn] 6#6: *5 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/1/00/0000000001 while reading upstream, client: 172.19.0.1, server: , request: "POST /register HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:3500", referrer: "http://localhost:3500/register"
2019/07/16 09:29:47 [warn] 6#6: *17 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/2/00/0000000002 while reading upstream, client: 172.19.0.1, server: , request: "POST /register HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:3500", referrer: "http://localhost:3500/register"
2019/07/16 09:30:51 [warn] 6#6: *17 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/3/00/0000000003 while reading upstream, client: 172.19.0.1, server: , request: "POST /register HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:3500", referrer: "http://localhost:3500/register"
2019/07/16 09:31:01 [warn] 6#6: *17 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/4/00/0000000004 while reading upstream, client: 172.19.0.1, server: , request: "POST /register HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:3500", referrer: "http://localhost:3500/register"
2019/07/16 09:32:07 [warn] 6#6: *17 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/5/00/0000000005 while reading upstream, client: 172.19.0.1, server: , request: "POST /register HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:3500", referrer: "http://localhost:3500/register"
2019/07/16 09:32:49 [warn] 7#7: *29 an upstream response is buffered to a temporary file /var/cache/nginx/fastcgi_temp/6/00/0000000006 while reading upstream, client: 172.19.0.1, server: , request: "POST /register HTTP/1.1", upstream: "fastcgi://172.19.0.3:9000", host: "localhost:3500", referrer: "http://localhost:3500/register"
